"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","228710","Сайт: https://beelline-internet.ru/ [core] [webkit] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","203015","Сайт: https://mts-home.online/ [core] [chromium] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","160830","Сайт: https://providerdom.ru/ [core] [chromium] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","185601","Сайт: https://internet-mts-home.online/ [core] [chromium] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","309162","Сайт: https://rtk-home-internet.ru/ [core] [webkit] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","153338","Сайт: https://dom-provider.online/ [core] [chromium] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","115249","Сайт: https://t2-ru.online [core] [webkit] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","203158","Сайт: https://rt-internet.online/ [core] [chromium] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","300663","Сайт: https://rt-internet.online/ [core] [webkit] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","231931","Сайт: https://beeline-home.online/ [core] [webkit] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","290731","Сайт: https://beeline-internet.online/ [core] [webkit] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","202601","Сайт: https://rtk-home-internet.ru/ [core] [chromium] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","199916","Сайт: https://beeline-home.online/ [core] [chromium] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
"
    Запуск для одного сайта:
        pytest -s --headed --site=mts-home-gpon.ru

    Запуск для всех сайтов:
        pytest -s --headed
    ","182709","Сайт: https://providerdom.ru/ [core] [webkit] [none]","","2026-05-01","passed","2026-05-01","service-mode: core","Формы провайдеров","",""
